ID,Name,Revenue2015,Expenses2015,Profit2015,Growth2015,Revenue2014,Expenses2014,Profit2014,Growth2014,Revenue2013,Expenses2013,Profit2013
154,Roundgreen,"$7,002,832.00","$2,338,663.00","$4,664,169.00",297%,"$1,763,935.00","$835,312.00","$928,623.00",79%,"$985,439.00","$469,296.00","$516,143.00"
155,Lineity,"$8,621,837.00","$1,359,224.00","$7,262,613.00",535%,"$1,357,066.00","$218,228.00","$1,138,838.00",578%,"$200,157.00","$32,062.00","$168,096.00"
156,Voyadexon,"$8,913,061.00","$6,763,554.00","$2,149,507.00",387%,"$1,829,183.00","$2,099,255.00","-$270,072.00",235%,"$546,025.00","$492,782.00","$53,243.00"
157,Xn-Media,"$7,863,279.00","$3,975,968.00","$3,887,311.00",330%,"$1,830,316.00","$1,128,461.00","$701,855.00",225%,"$563,174.00","$314,940.00","$248,235.00"
158,Drilldrill,"$8,800,620.00","$2,785,799.00","$6,014,821.00",560%,"$1,333,734.00","$405,324.00","$928,410.00",571%,"$198,768.00","$54,586.00","$144,182.00"
159,Tristone,"$11,755,980.00","$3,476,281.00","$8,279,699.00",467%,"$2,071,597.00","$505,497.00","$1,566,100.00",356%,"$454,298.00","$198,293.00","$256,004.00"
160,Goodmatlab,"$8,388,784.00","$3,000,548.00","$5,388,236.00",465%,"$1,483,650.00","$584,574.00","$899,076.00",535%,"$233,646.00","$97,422.00","$136,224.00"
161,Streetelectrics,"$7,418,922.00","$2,890,719.00","$4,528,203.00",409%,"$1,458,580.00","$737,094.00","$721,486.00",366%,"$313,000.00","$156,043.00","$156,957.00"
162,Yeartechno,"$12,883,296.00","$6,664,374.00","$6,218,922.00",340%,"$2,926,729.00","$1,651,804.00","$1,274,925.00",355%,"$643,237.00","$379,601.00","$263,637.00"
163,Spanquadin,"$10,820,183.00","$6,501,246.00","$4,318,937.00",391%,"$2,205,226.00","$1,087,054.00","$1,118,172.00",277%,"$584,941.00","$339,496.00","$245,444.00"
164,Treeelectrics,"$12,208,678.00","$4,536,775.00","$7,671,903.00",464%,"$2,164,056.00","$1,017,212.00","$1,146,844.00",465%,"$383,019.00","$162,279.00","$220,740.00"
165,Tontam,"$7,635,932.00","$7,119,416.00","$516,516.00",284%,"$1,987,821.00","$1,992,515.00","-$4,694.00",62%,"$1,227,050.00","$458,859.00","$768,191.00"
166,Ganjatam,"$11,195,183.00","$5,170,147.00","$6,025,037.00",256%,"$3,145,449.00","$1,342,992.00","$1,802,457.00",202%,"$1,041,539.00","$1,689,509.00","-$647,970.00"
167,Sumice,"$6,697,300.00","$5,654,472.00","$1,042,828.00",455%,"$1,206,056.00","$1,011,813.00","$194,243.00",442%,"$222,520.00","$185,375.00","$37,144.00"
168,Hayit,"$8,173,550.00","$3,361,841.00","$4,811,709.00",242%,"$2,386,868.00","$1,754,964.00","$631,904.00",350%,"$530,415.00","$475,690.00","$54,725.00"
169,Technostreet,"$4,749,094.00","$6,620,301.00","-$1,871,207.00",409%,"$932,549.00","$1,147,595.00","-$215,046.00",,,,
170,Haystreet,"$7,161,498.00","$6,702,626.00","$458,872.00",392%,"$1,455,304.00","$1,353,980.00","$101,324.00",428%,"$275,626.00","$336,789.00","-$61,163.00"
171,Contandax,"$9,068,409.00","$2,665,065.00","$6,403,345.00",357%,"$1,984,493.00","$469,542.00","$1,514,951.00",,,,
172,Jayquote,"$9,318,364.00","$1,738,822.00","$7,579,542.00",237%,"$2,768,177.00","$375,159.00","$2,393,018.00",267%,"$754,272.00","$99,419.00","$654,853.00"
173,Insaoplex,"$10,992,478.00","$3,355,303.00","$7,637,176.00",477%,"$1,903,822.00","$484,852.00","$1,418,970.00",431%,"$358,535.00","$86,806.00","$271,729.00"
174,Vivaex,"$9,398,947.00","$447,105.00","$8,951,842.00",269%,"$2,548,391.00","$133,007.00","$2,415,384.00",118%,"$1,168,987.00","$67,614.00","$1,101,373.00"
175,Vivadom,"$6,190,812.00","$3,656,514.00","$2,534,298.00",250%,"$1,770,023.00","$1,329,169.00","$440,854.00",269%,"$479,681.00","$329,638.00","$150,043.00"
176,Gravefan,"$10,932,712.00","$2,591,820.00","$8,340,892.00",433%,"$2,052,091.00","$555,805.00","$1,496,286.00",307%,"$504,199.00","$114,645.00","$389,555.00"
177,Gravecon,"$9,477,347.00","$6,237,987.00","$3,239,360.00",478%,"$1,640,491.00","$915,759.00","$724,732.00",500%,"$273,415.00","$191,290.00","$82,125.00"
178,Groovecorporation,"$6,812,340.00","$1,268,067.00","$5,544,273.00",471%,"$1,192,557.00","$239,032.00","$953,525.00",386%,"$245,382.00","$35,174.00","$210,208.00"
179,Hatvollex,"$7,410,581.00","$5,898,202.00","$1,512,378.00",425%,"$1,412,481.00","$975,136.00","$437,345.00",328%,"$330,019.00","$226,291.00","$103,728.00"
180,Lamlex,"$6,110,189.00","$4,669,175.00","$1,441,014.00",350%,"$1,357,667.00","$955,207.00","$402,460.00",,,,
181,Kanware,"$7,402,217.00","$2,519,702.00","$4,882,515.00",359%,"$1,611,459.00","$649,838.00","$961,621.00",,,,
182,Rankfind,"$11,210,769.00","$1,837,223.00","$9,373,546.00",784%,"$1,268,659.00","$234,354.00","$1,034,305.00",614%,"$177,683.00","$31,940.00","$145,744.00"
183,Fixcan,"$12,184,061.00","$4,600,156.00","$7,583,905.00",269%,"$3,301,791.00","$2,513,055.00","$788,736.00",224%,"$1,019,071.00","$1,100,365.00","-$81,294.00"
184,Technodexon,"$12,554,383.00","$3,538,667.00","$9,015,716.00",493%,"$2,116,498.00","$467,802.00","$1,648,696.00",366%,"$454,184.00","$233,130.00","$221,054.00"
185,Vaialane,"$12,532,632.00","$6,148,451.00","$6,384,182.00",460%,"$2,236,215.00","$1,225,777.00","$1,010,438.00",599%,"$319,916.00","$162,670.00","$157,247.00"
186,Donjob,"$12,439,695.00","$7,039,096.00","$5,400,599.00",369%,"$2,652,722.00","$1,346,848.00","$1,305,874.00",189%,"$917,897.00","$458,031.00","$459,866.00"
187,Fincorporation,"$11,511,148.00","$1,778,030.00","$9,733,118.00",457%,"$2,066,014.00","$271,093.00","$1,794,921.00",467%,"$364,376.00","$57,923.00","$306,454.00"
188,Techlux,"$8,800,946.00","$2,141,374.00","$6,659,571.00",585%,"$1,284,803.00","$274,323.00","$1,010,480.00",503%,"$213,068.00","$42,594.00","$170,474.00"
189,Sun-In,"$8,375,924.00","$5,299,483.00","$3,076,441.00",460%,"$1,496,171.00","$2,360,178.00","-$864,007.00",351%,"$331,745.00","$534,814.00","-$203,069.00"
190,Hatit,"$10,935,075.00","$1,818,536.00","$9,116,540.00",203%,"$3,605,650.00","$1,128,301.00","$2,477,349.00",228%,"$1,099,284.00","$493,227.00","$606,057.00"
191,Tamtex,"$11,205,036.00","$2,840,144.00","$8,364,892.00",370%,"$2,382,446.00","$794,482.00","$1,587,964.00",169%,"$885,668.00","$307,154.00","$578,513.00"
192,Itquadlab,"$8,198,522.00","$6,950,351.00","$1,248,171.00",406%,"$1,619,732.00","$1,238,397.00","$381,335.00",381%,"$336,743.00","$221,562.00","$115,181.00"
193,Bluefan,"$8,789,561.00","$7,224,844.00","$1,564,717.00",550%,"$1,351,620.00","$1,308,755.00","$42,865.00",492%,"$228,314.00","$289,006.00","-$60,692.00"
194,Konkdom,"$14,001,604.00","$1,306,967.00","$12,694,638.00",416%,"$2,713,227.00","$323,913.00","$2,389,314.00",283%,"$708,414.00","$91,665.00","$616,750.00"
195,Kaysolodex,"$8,310,294.00","$5,879,731.00","$2,430,563.00",513%,"$1,355,804.00","$778,308.00","$577,496.00",311%,"$329,879.00","$227,800.00","$102,080.00"
196,Zunremlane,"$9,102,843.00","$4,973,717.00","$4,129,126.00",302%,"$2,266,904.00","$1,498,297.00","$768,607.00",422%,"$434,273.00","$253,565.00","$180,708.00"
197,Kinlax,"$9,380,872.00","$8,212,849.00","$1,168,023.00",426%,"$1,782,331.00","$1,721,287.00","$61,044.00",472%,"$311,596.00","$298,680.00","$12,916.00"
198,Inchkix,"$8,724,297.00","$5,427,040.00","$3,297,257.00",426%,"$1,659,447.00","$824,332.00","$835,115.00",396%,"$334,566.00","$347,500.00","-$12,934.00"
199,Highvivalux,"$5,501,719.00","$867,508.00","$4,634,212.00",299%,"$1,379,806.00","$560,178.00","$819,628.00",402%,"$274,862.00","$118,387.00","$156,475.00"
200,Zathhow,"$7,232,098.00","$5,166,523.00","$2,065,575.00",563%,"$1,091,364.00","$746,492.00","$344,872.00",454%,"$196,997.00","$119,152.00","$77,845.00"
201,Blacktaxon,"$10,274,457.00","$3,752,711.00","$6,521,745.00",266%,"$2,808,267.00","$854,168.00","$1,954,099.00",-35%,"$4,320,411.00","$1,041,820.00","$3,278,591.00"
202,Labam,"$8,124,116.00","$5,173,904.00","$2,950,211.00",377%,"$1,701,839.00","$912,532.00","$789,307.00",379%,"$355,290.00","$251,679.00","$103,611.00"
203,Black-Tax,"$5,166,324.00","$3,772,942.00","$1,393,382.00",444%,"$949,581.00","$799,609.00","$149,972.00",350%,"$211,018.00","$245,887.00","-$34,869.00"
204,Med-City,"$10,488,577.00","$5,637,042.00","$4,851,535.00",447%,"$1,916,434.00","$1,066,298.00","$850,136.00",446%,"$350,995.00","$197,168.00","$153,827.00"
205,Sunviaway,"$1,614,585.00","$4,323,005.00","-$2,708,420.00",464%,"$286,038.00","$522,983.00","-$236,945.00",,,,
206,Vaiatrax,"$10,650,059.00","$1,513,134.00","$9,136,925.00",317%,"$2,556,168.00","$276,849.00","$2,279,319.00",122%,"$1,151,427.00","$69,685.00","$1,081,743.00"
207,Ganzhex,"$5,307,243.00","$2,439,137.00","$2,868,106.00",508%,"$873,423.00","$396,817.00","$476,606.00",367%,"$187,028.00","$79,994.00","$107,034.00"
208,Plexfix,"$7,404,129.00","$6,015,275.00","$1,388,854.00",496%,"$1,241,315.00","$938,246.00","$303,069.00",383%,"$257,001.00","$167,362.00","$89,639.00"
209,Care-La,"$7,266,698.00","$3,081,062.00","$4,185,637.00",468%,"$1,278,669.00","$551,412.00","$727,257.00",365%,"$274,983.00","$106,295.00","$168,688.00"
210,Dongstreet,"$7,042,297.00","$6,903,334.00","$138,963.00",338%,"$1,607,896.00","$1,496,948.00","$110,948.00",309%,"$393,129.00","$369,802.00","$23,326.00"
211,Sumtechi,"$10,805,554.00","$1,944,900.00","$8,860,654.00",488%,"$1,837,166.00","$314,020.00","$1,523,146.00",424%,"$350,604.00","$41,708.00","$308,897.00"
212,Hatsaotam,"$6,028,952.00","$2,910,331.00","$3,118,621.00",327%,"$1,410,499.00","$670,356.00","$740,143.00",423%,"$269,694.00","$167,417.00","$102,277.00"
213,Mathstreet,"$9,150,382.00","$6,266,400.00","$2,883,983.00",223%,"$2,834,879.00","$3,420,425.00","-$585,546.00",294%,"$719,512.00","$3,809,825.00","-$3,090,313.00"
214,Basetrax,"$9,391,015.00","$1,040,662.00","$8,350,353.00",302%,"$2,337,751.00","$309,143.00","$2,028,608.00",56%,"$1,498,558.00","$200,219.00","$1,298,340.00"
215,Linetouch,"$10,514,846.00","$2,342,948.00","$8,171,897.00",314%,"$2,542,284.00","$663,837.00","$1,878,447.00",215%,"$807,074.00","$250,098.00","$556,976.00"
216,Zim-Fan,"$8,236,758.00","$2,939,014.00","$5,297,745.00",295%,"$2,086,476.00","$747,217.00","$1,339,259.00",185%,"$732,097.00","$303,232.00","$428,865.00"
217,Jobin,"$8,001,019.00","$5,356,279.00","$2,644,740.00",404%,"$1,585,961.00","$1,644,930.00","-$58,969.00",536%,"$249,365.00","$293,472.00","-$44,107.00"
218,D-Ace,"$13,645,814.00","$6,258,489.00","$7,387,325.00",334%,"$3,147,250.00","$971,793.00","$2,175,457.00",,,,
219,Ganzlux,"$8,230,012.00","$5,454,788.00","$2,775,225.00",488%,"$1,400,425.00","$777,676.00","$622,749.00",435%,"$261,762.00","$207,015.00","$54,747.00"
220,Zenware,"$9,590,886.00","$1,692,982.00","$7,897,904.00",406%,"$1,896,771.00","$284,800.00","$1,611,971.00",183%,"$670,237.00","$59,319.00","$610,918.00"
221,Whitefase,"$8,492,524.00","$2,714,283.00","$5,778,242.00",469%,"$1,493,583.00","$446,030.00","$1,047,553.00",252%,"$424,313.00","$213,802.00","$210,511.00"
222,Canstrip,"$11,311,771.00","$2,421,284.00","$8,890,487.00",477%,"$1,962,030.00","$406,885.00","$1,555,145.00",467%,"$346,037.00","$65,158.00","$280,879.00"
223,Duotouch,"$8,942,315.00","$3,738,984.00","$5,203,331.00",433%,"$1,677,284.00","$807,399.00","$869,885.00",528%,"$267,083.00","$170,054.00","$97,029.00"
224,Goodace,"$7,858,271.00","$3,662,576.00","$4,195,695.00",302%,"$1,953,695.00","$1,349,928.00","$603,767.00",130%,"$849,433.00","$678,804.00","$170,628.00"
225,Tamqvocone,"$9,045,108.00","$5,727,397.00","$3,317,711.00",461%,"$1,612,267.00","$942,720.00","$669,547.00",357%,"$352,794.00","$200,048.00","$152,746.00"
226,Vivaity,"$7,529,148.00","$3,147,929.00","$4,381,218.00",474%,"$1,312,297.00","$404,016.00","$908,281.00",525%,"$209,968.00","$65,343.00","$144,624.00"
227,O-Touch,"$9,521,727.00","$3,669,858.00","$5,851,869.00",469%,"$1,674,419.00","$771,196.00","$903,223.00",349%,"$372,922.00","$195,521.00","$177,401.00"
228,Temp-Holdings,"$10,353,055.00","$4,798,186.00","$5,554,869.00",364%,"$2,231,744.00","$838,271.00","$1,393,473.00",402%,"$444,571.00","$199,247.00","$245,324.00"
229,Flexlane,"$7,733,374.00","$4,666,917.00","$3,066,457.00",323%,"$1,828,665.00","$1,888,169.00","-$59,504.00",304%,"$452,640.00","$623,123.00","-$170,483.00"
230,Zotcare,"$10,249,518.00","$1,261,501.00","$8,988,017.00",303%,"$2,545,344.00","$310,775.00","$2,234,569.00",141%,"$1,056,159.00","$144,310.00","$911,849.00"
231,Triolane,"$6,879,766.00","$3,371,796.00","$3,507,970.00",272%,"$1,849,165.00","$838,904.00","$1,010,261.00",201%,"$614,341.00","$277,256.00","$337,084.00"
232,Roundla,"$15,252,673.00","$628,139.00","$14,624,533.00",451%,"$2,770,301.00","$134,489.00","$2,635,812.00",386%,"$570,021.00","$56,455.00","$513,565.00"
233,Requote,"$5,994,715.00","$4,947,864.00","$1,046,852.00",347%,"$1,341,470.00","$1,181,565.00","$159,905.00",,,,
234,Tempkix,"$7,241,642.00","$4,649,990.00","$2,591,652.00",209%,"$2,346,332.00","$1,644,895.00","$701,437.00",204%,"$771,820.00","$449,130.00","$322,689.00"
235,Medkix,"$7,069,939.00","$1,498,470.00","$5,571,469.00",578%,"$1,042,871.00","$261,611.00","$781,260.00",430%,"$196,768.00","$44,535.00","$152,233.00"
236,Toughfix,"$10,360,478.00","$1,411,966.00","$8,948,511.00",441%,"$1,914,621.00","$261,740.00","$1,652,881.00",443%,"$352,601.00","$50,548.00","$302,052.00"
237,Freshholdings,"$10,492,864.00","$392,917.00","$10,099,947.00",498%,"$1,755,823.00","$68,600.00","$1,687,223.00",470%,"$308,039.00","$10,794.00","$297,245.00"
238,Toughace,"$8,807,923.00","$5,208,781.00","$3,599,142.00",379%,"$1,839,326.00","$1,566,087.00","$273,239.00",401%,"$367,131.00","$277,294.00","$89,837.00"
239,Icezunzim,"$6,150,397.00","$6,274,358.00","-$123,961.00",461%,"$1,097,234.00","$1,268,161.00","-$170,927.00",358%,"$239,571.00","$331,980.00","-$92,409.00"
240,Damzoom,"$7,967,309.00","$3,101,168.00","$4,866,141.00",423%,"$1,523,876.00","$526,123.00","$997,753.00",330%,"$354,390.00","$80,151.00","$274,238.00"
241,Rank-Fix,"$9,063,921.00","$1,481,219.00","$7,582,702.00",476%,"$1,573,670.00","$246,076.00","$1,327,594.00",333%,"$363,434.00","$84,820.00","$278,615.00"
242,Hottam,"$10,422,075.00","$1,875,020.00","$8,547,056.00",452%,"$1,888,659.00","$402,194.00","$1,486,465.00",520%,"$304,622.00","$116,773.00","$187,849.00"
243,Lattechi,"$10,285,548.00","$1,453,319.00","$8,832,228.00",284%,"$2,675,533.00","$317,752.00","$2,357,781.00",208%,"$868,680.00","$86,414.00","$782,265.00"
244,Citydrill,"$9,400,603.00","$6,708,066.00","$2,692,537.00",421%,"$1,803,106.00","$2,551,635.00","-$748,529.00",121%,"$815,885.00","$983,989.00","-$168,104.00"
245,It-Ity,"$8,407,359.00","$1,802,970.00","$6,604,389.00",477%,"$1,456,138.00","$329,486.00","$1,126,652.00",225%,"$448,042.00","$98,904.00","$349,138.00"
246,Vivatam,"$9,875,708.00","$1,988,166.00","$7,887,542.00",430%,"$1,862,157.00","$309,349.00","$1,552,808.00",550%,"$286,486.00","$51,361.00","$235,125.00"
247,Islotfind,"$6,498,255.00","$1,639,880.00","$4,858,375.00",404%,"$1,290,109.00","$286,581.00","$1,003,528.00",245%,"$373,945.00","$161,492.00","$212,453.00"
248,Yearla,"$10,838,442.00","$5,327,158.00","$5,511,284.00",415%,"$2,103,059.00","$979,761.00","$1,123,298.00",329%,"$490,224.00","$220,147.00","$270,077.00"
249,Dancane,"$8,556,024.00","$3,513,209.00","$5,042,815.00",495%,"$1,437,230.00","$525,478.00","$911,752.00",491%,"$243,186.00","$106,336.00","$136,851.00"
250,Citytrax,"$8,891,038.00","$2,784,971.00","$6,106,068.00",332%,"$2,058,829.00","$636,469.00","$1,422,360.00",390%,"$420,169.00","$102,976.00","$317,194.00"
251,Y-Corporation,"$7,583,284.00","$3,736,574.00","$3,846,710.00",550%,"$1,166,735.00","$726,589.00","$440,146.00",505%,"$192,849.00","$100,067.00","$92,782.00"
252,Voltstreet,"$7,427,781.00","$2,080,671.00","$5,347,109.00",295%,"$1,880,882.00","$367,483.00","$1,513,399.00",135%,"$800,375.00","$117,179.00","$683,196.00"
253,Sail-Lam,"$8,540,290.00","$5,523,001.00","$3,017,289.00",386%,"$1,757,516.00","$1,422,917.00","$334,599.00",305%,"$433,955.00","$280,357.00","$153,598.00"
254,Gravetrax,"$7,223,567.00","$2,492,629.00","$4,730,938.00",293%,"$1,835,780.00","$636,902.00","$1,198,878.00",,,,
255,Zotjoit,"$8,878,988.00","$5,541,102.00","$3,337,885.00",439%,"$1,647,791.00","$1,154,425.00","$493,366.00",462%,"$293,201.00","$239,772.00","$53,429.00"
256,Lanelex,"$9,106,110.00","$3,351,685.00","$5,754,425.00",376%,"$1,912,817.00","$1,050,120.00","$862,697.00",355%,"$420,399.00","$211,296.00","$209,103.00"
257,Hayfan,"$9,678,127.00","$4,001,114.00","$5,677,013.00",380%,"$2,017,868.00","$961,205.00","$1,056,663.00",531%,"$319,789.00","$184,206.00","$135,583.00"
258,Lacorporation,"$6,152,561.00","$4,897,146.00","$1,255,415.00",273%,"$1,649,286.00","$1,339,266.00","$310,020.00",169%,"$613,117.00","$649,735.00","-$36,617.00"
259,Zumma-Lane,"$11,468,968.00","$4,088,478.00","$7,380,489.00",591%,"$1,660,405.00","$524,767.00","$1,135,638.00",473%,"$289,774.00","$106,907.00","$182,867.00"
260,Ganjafan,"$8,732,985.00","$5,294,265.00","$3,438,720.00",542%,"$1,360,994.00","$774,237.00","$586,757.00",601%,"$194,150.00","$132,710.00","$61,440.00"
261,Nimlux,"$5,753,213.00","$3,117,206.00","$2,636,008.00",394%,"$1,165,249.00","$474,592.00","$690,657.00",532%,"$184,375.00","$142,960.00","$41,415.00"
262,D-Fincode,"$8,368,125.00","$4,159,950.00","$4,208,175.00",242%,"$2,449,122.00","$1,053,049.00","$1,396,073.00",,,,
263,Zummacane,"$5,014,465.00","$2,598,022.00","$2,416,443.00",500%,"$835,156.00","$427,689.00","$407,467.00",474%,"$145,498.00","$105,989.00","$39,508.00"
264,Y-Way,"$6,932,467.00","$2,080,260.00","$4,852,207.00",271%,"$1,867,707.00","$486,395.00","$1,381,312.00",55%,"$1,204,972.00","$143,697.00","$1,061,275.00"
265,Tonbase,"$9,536,474.00","$1,372,865.00","$8,163,609.00",438%,"$1,773,210.00","$289,975.00","$1,483,235.00",194%,"$603,133.00","$64,848.00","$538,285.00"
266,Tran-It,"$8,276,019.00","$1,473,618.00","$6,802,401.00",382%,"$1,717,903.00","$326,282.00","$1,391,621.00",508%,"$282,550.00","$71,867.00","$210,683.00"
267,X-Lax,"$6,340,280.00","$3,794,813.00","$2,545,467.00",511%,"$1,037,057.00","$542,162.00","$494,895.00",,,,
268,Dento-Fix,"$7,075,544.00","$6,812,829.00","$262,714.00",333%,"$1,632,721.00","$1,866,367.00","-$233,646.00",246%,"$471,885.00","$500,520.00","-$28,636.00"
269,Gogofan,"$7,826,433.00","$5,608,635.00","$2,217,798.00",372%,"$1,657,174.00","$1,042,629.00","$614,545.00",349%,"$369,081.00","$299,106.00","$69,976.00"
270,Sub-Fan,"$7,178,217.00","$4,916,737.00","$2,261,481.00",331%,"$1,664,763.00","$1,024,056.00","$640,707.00",,,,
271,Scotzone,"$10,784,955.00","$3,735,556.00","$7,049,400.00",349%,"$2,403,913.00","$761,965.00","$1,641,948.00",390%,"$490,594.00","$146,024.00","$344,571.00"
272,Mediagreen,"$7,480,998.00","$758,416.00","$6,722,582.00",550%,"$1,151,463.00","$141,211.00","$1,010,252.00",587%,"$167,607.00","$24,410.00","$143,198.00"
273,Zottex,"$9,237,032.00","$6,461,790.00","$2,775,242.00",242%,"$2,698,039.00","$1,507,765.00","$1,190,274.00",330%,"$627,451.00","$385,253.00","$242,198.00"
274,Xx-Com,"$13,533,083.00","$2,163,836.00","$11,369,247.00",521%,"$2,180,055.00","$277,768.00","$1,902,287.00",253%,"$617,579.00","$114,822.00","$502,757.00"
275,Toughcare,"$10,429,629.00","$5,796,075.00","$4,633,554.00",400%,"$2,086,140.00","$1,015,432.00","$1,070,708.00",329%,"$486,280.00","$284,261.00","$202,019.00"
276,Sailbam,"$8,219,737.00","$5,224,239.00","$2,995,499.00",320%,"$1,958,093.00","$1,069,605.00","$888,488.00",266%,"$534,998.00","$248,853.00","$286,145.00"
277,Mathstrip,"$10,236,594.00","$4,788,684.00","$5,447,910.00",356%,"$2,246,984.00","$897,764.00","$1,349,220.00",150%,"$898,794.00","$536,808.00","$361,985.00"
278,Vilait,"$5,691,853.00","$3,250,700.00","$2,441,153.00",488%,"$968,794.00","$645,742.00","$323,052.00",486%,"$165,323.00","$100,066.00","$65,257.00"
279,Dandrill,"$9,834,143.00","$3,110,144.00","$6,723,999.00",391%,"$2,001,247.00","$666,993.00","$1,334,254.00",360%,"$435,054.00","$139,014.00","$296,039.00"
280,Konkin,"$8,397,677.00","$753,444.00","$7,644,232.00",401%,"$1,677,199.00","$172,379.00","$1,504,820.00",281%,"$440,210.00","$37,732.00","$402,478.00"
281,Unoline,"$11,086,524.00","$5,624,600.00","$5,461,924.00",203%,"$3,655,600.00","$1,584,255.00","$2,071,345.00",-18%,"$4,458,049.00","$2,853,922.00","$1,604,127.00"
282,Indihow,"$8,189,502.00","$3,451,949.00","$4,737,553.00",563%,"$1,234,854.00","$550,277.00","$684,577.00",463%,"$219,335.00","$104,144.00","$115,191.00"
283,Truesaokix,"$12,507,074.00","$3,705,847.00","$8,801,227.00",550%,"$1,925,483.00","$561,834.00","$1,363,649.00",484%,"$329,706.00","$94,475.00","$235,231.00"
284,Lamlax,"$10,016,295.00","$3,263,194.00","$6,753,101.00",418%,"$1,933,622.00","$584,305.00","$1,349,317.00",409%,"$379,886.00","$125,564.00","$254,323.00"
285,Saotaxon,"$8,440,576.00","$5,383,015.00","$3,057,561.00",414%,"$1,641,916.00","$985,973.00","$655,943.00",445%,"$301,269.00","$269,070.00","$32,199.00"
286,Dentoing,"$11,595,135.00","$5,645,413.00","$5,949,722.00",272%,"$3,114,885.00","$2,416,197.00","$698,688.00",93%,"$1,613,930.00","$3,376,514.00","-$1,762,583.00"
287,Sanzatrax,"$6,219,995.00","$4,489,463.00","$1,730,532.00",502%,"$1,033,606.00","$709,254.00","$324,352.00",447%,"$188,959.00","$135,159.00","$53,800.00"
288,Geoelectronics,"$10,684,183.00","$7,693,563.00","$2,990,620.00",435%,"$1,996,309.00","$1,256,981.00","$739,328.00",407%,"$393,749.00","$357,865.00","$35,885.00"
289,Konktouch,"$5,720,259.00","$4,434,901.00","$1,285,359.00",416%,"$1,108,527.00","$1,260,990.00","-$152,463.00",321%,"$263,308.00","$299,452.00","-$36,144.00"
290,Trans-Dexon,"$9,447,285.00","$3,498,325.00","$5,948,961.00",519%,"$1,525,274.00","$564,524.00","$960,750.00",587%,"$222,020.00","$78,035.00","$143,985.00"
291,Indigolane,"$7,165,092.00","$6,999,551.00","$165,541.00",457%,"$1,287,479.00","$1,348,266.00","-$60,787.00",188%,"$447,041.00","$368,373.00","$78,668.00"
292,Fintax,"$6,527,993.00","$4,132,039.00","$2,395,954.00",341%,"$1,480,824.00","$684,914.00","$795,910.00",225%,"$455,638.00","$339,332.00","$116,307.00"
293,Overlane,"$7,200,055.00","$4,151,687.00","$3,048,368.00",360%,"$1,566,606.00","$1,038,880.00","$527,726.00",,,,
294,Zimholding,"$8,905,706.00","$405,045.00","$8,500,661.00",358%,"$1,945,272.00","$94,510.00","$1,850,762.00",452%,"$352,404.00","$22,102.00","$330,302.00"
295,Scot-Lex,"$7,975,996.00","$4,097,491.00","$3,878,505.00",445%,"$1,463,420.00","$642,069.00","$821,351.00",474%,"$254,951.00","$132,685.00","$122,266.00"
296,Lexitrans,"$9,152,251.00","$6,653,818.00","$2,498,433.00",554%,"$1,398,609.00","$1,110,587.00","$288,022.00",568%,"$209,373.00","$256,105.00","-$46,732.00"
297,Phystouch,"$9,530,025.00","$847,470.00","$8,682,555.00",336%,"$2,187,480.00","$190,505.00","$1,996,975.00",232%,"$658,880.00","$93,120.00","$565,760.00"
298,Trestouch,"$10,512,433.00","$2,267,715.00","$8,244,718.00",357%,"$2,301,799.00","$533,415.00","$1,768,384.00",305%,"$568,345.00","$140,847.00","$427,498.00"
299,Silicontrans,"$8,006,959.00","$7,564,828.00","$442,131.00",289%,"$2,058,595.00","$1,670,959.00","$387,636.00",238%,"$609,052.00","$568,614.00","$40,438.00"
300,K-Job,"$7,008,969.00","$3,517,340.00","$3,491,629.00",485%,"$1,197,718.00","$467,198.00","$730,520.00",459%,"$214,261.00","$102,851.00","$111,410.00"
301,Santechno,"$9,604,261.00","$4,917,054.00","$4,687,208.00",324%,"$2,265,752.00","$911,306.00","$1,354,446.00",174%,"$826,917.00","$432,693.00","$394,224.00"
302,Vilamedia,"$8,605,926.00","$3,454,719.00","$5,151,207.00",362%,"$1,862,249.00","$526,395.00","$1,335,854.00",369%,"$397,068.00","$96,433.00","$300,635.00"
303,Bignamjob,"$8,326,486.00","$5,705,075.00","$2,621,412.00",408%,"$1,639,436.00","$1,137,342.00","$502,094.00",413%,"$319,578.00","$175,463.00","$144,115.00"
304,Transcon,"$7,442,321.00","$4,198,562.00","$3,243,759.00",537%,"$1,169,043.00","$1,079,855.00","$89,188.00",525%,"$187,047.00","$155,376.00","$31,671.00"
305,Kayplus,"$10,855,879.00","$4,611,400.00","$6,244,479.00",417%,"$2,099,891.00","$1,239,477.00","$860,414.00",489%,"$356,518.00","$232,389.00","$124,129.00"
306,Hottom,"$10,381,784.00","$2,093,538.00","$8,288,245.00",284%,"$2,703,681.00","$952,259.00","$1,751,422.00",123%,"$1,212,413.00","$825,113.00","$387,300.00"
307,Voltech,"$11,211,911.00","$5,213,751.00","$5,998,160.00",374%,"$2,363,992.00","$1,616,023.00","$747,969.00",451%,"$429,037.00","$399,654.00","$29,382.00"
308,Lamdombase,"$11,428,457.00","$5,595,183.00","$5,833,273.00",474%,"$1,989,460.00","$907,731.00","$1,081,729.00",539%,"$311,340.00","$156,928.00","$154,412.00"
